Final URL,Repository Path,Bytes,KB,Format,Width,Height,Git Tracked,Reference Location
https://www.qiuxiaomiao.com/assets/operations/campus-live-06-w960.webp,public/assets/operations/campus-live-06-w960.webp,20470,20.0,webp,960,488,yes,generated responsive candidate for /assets/operations/campus-live-06.webp
https://www.qiuxiaomiao.com/assets/operations/campus-live-06.jpg,public/assets/operations/campus-live-06.jpg,87308,85.3,jpeg,1858,945,yes,fallback/original asset; not directly referenced
https://www.qiuxiaomiao.com/assets/operations/campus-live-06.webp,public/assets/operations/campus-live-06.webp,61558,60.1,webp,1858,945,yes,fallback/original asset; not directly referenced
https://www.qiuxiaomiao.com/assets/operations/campus-project-w480.webp,public/assets/operations/campus-project-w480.webp,33474,32.7,webp,480,1041,yes,generated responsive candidate for /assets/operations/campus-project.webp
https://www.qiuxiaomiao.com/assets/operations/campus-project-w960.webp,public/assets/operations/campus-project-w960.webp,77986,76.2,webp,960,2081,yes,generated responsive candidate for /assets/operations/campus-project.webp
https://www.qiuxiaomiao.com/assets/operations/campus-project.jpg,public/assets/operations/campus-project.jpg,151590,148.0,jpeg,1179,2556,yes,src/App.jsx:164 (JPG fallback)
https://www.qiuxiaomiao.com/assets/operations/campus-project.webp,public/assets/operations/campus-project.webp,146926,143.5,webp,1179,2556,yes,src/App.jsx:164
https://www.qiuxiaomiao.com/assets/operations/douyin-film-review-w480.webp,public/assets/operations/douyin-film-review-w480.webp,12348,12.1,webp,480,277,yes,generated responsive candidate for /assets/operations/douyin-film-review.webp
https://www.qiuxiaomiao.com/assets/operations/douyin-film-review-w960.webp,public/assets/operations/douyin-film-review-w960.webp,28522,27.9,webp,960,554,yes,generated responsive candidate for /assets/operations/douyin-film-review.webp
https://www.qiuxiaomiao.com/assets/operations/douyin-film-review.jpg,public/assets/operations/douyin-film-review.jpg,62881,61.4,jpeg,1179,680,yes,src/App.jsx:117 (JPG fallback)
https://www.qiuxiaomiao.com/assets/operations/douyin-film-review.webp,public/assets/operations/douyin-film-review.webp,49434,48.3,webp,1179,680,yes,src/App.jsx:117
https://www.qiuxiaomiao.com/assets/operations/douyin-food-w480.webp,public/assets/operations/douyin-food-w480.webp,10892,10.6,webp,480,202,yes,generated responsive candidate for /assets/operations/douyin-food.webp
https://www.qiuxiaomiao.com/assets/operations/douyin-food-w960.webp,public/assets/operations/douyin-food-w960.webp,25268,24.7,webp,960,404,yes,generated responsive candidate for /assets/operations/douyin-food.webp
https://www.qiuxiaomiao.com/assets/operations/douyin-food.jpg,public/assets/operations/douyin-food.jpg,50971,49.8,jpeg,1179,496,yes,src/App.jsx:112 (JPG fallback)
https://www.qiuxiaomiao.com/assets/operations/douyin-food.webp,public/assets/operations/douyin-food.webp,42198,41.2,webp,1179,496,yes,src/App.jsx:112
